MOBILE SAFETY CAMERA LOCATION DESCRIPTION REPORT,,,
LOCATION,SUBURB,Reason Code,Audit Date
Abey Road,COBBLEBANK,BCD,May-22
Adam Street,GOLDEN SQUARE,ACD,Apr-22
Agar Road,CORONET BAY,BC,T
Airport Drive,MELBOURNE AIRPORT,ABCD,Apr-22
Aitken Boulevard,ROXBURGH PARK,ABC,Apr-22
Aitken Boulevard,CRAIGIEBURN,ABCD,Apr-22
Aitken Street,ALEXANDRA,C,Oct-21
Albert Avenue,BORONIA,C,Jul-21
Albert Road,WARRAGUL,ABC,Apr-22
Albert Street,EAST MELBOURNE,A,May-22
Alexanders Road,MORWELL,BC,T
Allan Street,KYABRAM,C,Mar-22
Allenby Avenue,RESERVOIR,C,Apr-22
Allendale Road,DIAMOND CREEK,ABC,Apr-22
Allies Road,MYERS FLAT,AC,Apr-22
Allingham Street,KANGAROO FLAT,BCD,Apr-22
Ambrose Treacy Drive,BUNDOORA,BC,Apr-22
Anakie Road,BELL PARK,BC,Jan-22
Anderson Road,SUNSHINE,ABC,T
Anderson Road,FAWKNER,C,Apr-22
Andersons Creek Road,DONCASTER EAST,ABCD,Apr-22
Anzac Parade,BANDIANA,C,Oct-21
Anzac Road,TRAFALGAR,B,Apr-22
Apollo Road,TAYLORS LAKES,BC,T
Ararat-Halls Gap Road,POMONAL,ABC,Jul-21
Ararat-Halls Gap Road,JALLUKAR,AC,Jul-21
Ararat-Halls Gap Road,MOYSTON,AC,Jul-21
Arcadia Avenue,THE BASIN,ABCD,Nov-21
Arden Street,NORTH MELBOURNE,BC,May-22
Army Road,PAKENHAM,B,Apr-22
Army Road,PAKENHAM UPPER,BC,Apr-22
Arnot Street,BONNIE DOON,BCD,Sep-21
Arthur Street,ST ALBANS,C,T
Arthurs Creek Road,ARTHURS CREEK,ABC,Apr-22
Arthurs Creek Road,YAN YEAN,AC,Apr-22
Arundel Road,KEILOR,C,T
Ascot Vale Road,ASCOT VALE,C,Apr-22
Atkins Road,PAKENHAM,B,Apr-22
Auburn Road,HAWTHORN,ABD,Apr-22
Aughtie Drive,ALBERT PARK,BC,May-22
Avenel Road,SEYMOUR,BC,Oct-21
Avenel-Nagambie Rd,AVENEL,C,Oct-21
Avenel-Nagambie Road,AVENEL,C,Oct-21
Avenue of Honour,WOODEND NORTH,ACD,Nov-21
Averys Road,EAGLEHAWK,ABCD,Apr-22
Avondale Avenue,ST ALBANS,BC,T
Axe Creek Road,AXE CREEK,C,T
Baanip Boulevard,MOUNT DUNEED,ABCD,May-21
Back Beach Road,VENTNOR,A,T
Back Eildon Road,THORNTON,C,Oct-21
Bakers Road,NOBLE PARK NORTH,C,Nov-21
Balcombe Road,BEAUMARIS,ABC,May-22
Balcombe Road,MENTONE,AC,May-22
Ballan Road,BATESFORD,ABC,May-21
Ballan Road,WYNDHAM VALE,C,Sep-21
Ballan-Daylesford Road,BUNDING,ABC,Nov-21
Ballan-Daylesford Road,KORWEINGUBOORA,ABC,Nov-21
Ballarat Road,RAVENHALL,BC,May-22
Ballarat Road,FOOTSCRAY,C,Sep-21
Ballarat Road,HAMILTON,C,Apr-22
Ballarat-Maryborough Road,DAISY HILL,ACD,Nov-21
Ballarto Road,CARDINIA,BC,Apr-22
Balwyn Road,BALWYN,C,Apr-22
Bambra Road,CAULFIELD SOUTH,C,May-22
Banbury Road,RESERVOIR,BCD,Apr-22
Bank Street,AVENEL,C,Oct-21
Banksia Street,HEIDELBERG HEIGHTS,BC,Apr-22
Bannons Lane,YARRAMBAT,AC,Apr-22
Banyule Road,VIEWBANK,ABCD,Dec-21
Barkly Street,WEST FOOTSCRAY,C,Sep-21
Barkly Street West,ARARAT,B,Jul-21
Barmah-Shepparton Road,ZEERUST,AC,Apr-22
Barmah-Shepparton Road,BUNBARTHA,C,Apr-22
Barnes Boulevard,HORSHAM,C,Jul-21
Barrabool Road,HIGHTON,BC,Jan-22
Barrands Lane,DRYSDALE,BC,Jan-22
Barries Road,MELTON,C,May-22
Barry Road,COOLAROO,ABC,Apr-22
Barry Road,DALLAS,ABCD,Apr-22
Barry Road,THOMASTOWN,ABCD,May-22
Barry Road,CAMPBELLFIELD,BCD,Apr-22
Barrymore Road,GREENVALE,C,Apr-22
Barwon Heads Road,CONNEWARRE,ABC,Jan-22
Barwon Terrace,WINCHELSEA,BC,Jan-22
Bass Highway,INVERLOCH,ABC,Jul-21
Bass Highway,LANG LANG SOUTH,AC,T
Bass Highway,DALYSTON,C,T
Bass Highway,LEONGATHA SOUTH,C,T
Bass Highway,THE GURDIES,C,T
Bass Highway,WONTHAGGI,C,T
Batesford Road,MALVERN EAST,CD,May-22
Baxter-Tooradin Road,BAXTER,ABC,Jan-22
Baxter-Tooradin Road,PEARCEDALE,B,Mar-22
Baxter-Tooradin Road,DEVON MEADOWS,C,Mar-22
Bayswater Road,CROYDON,AC,Apr-22
Bayview Road,ROSEBUD,BC,Jan-22
Beach Road,BEAUMARIS,ABC,May-22
Beach Road,PARKDALE,BC,May-22
Beach Road,SANDRINGHAM,BC,May-22
Beach Road,MORDIALLOC,C,May-22
Beach Road,BLACK ROCK,C,May-22
Beach Street,FRANKSTON,C,Jan-22
Beacon Point Road,CLIFTON SPRINGS,B,Jan-22
Beaconsfield Parade,ALBERT PARK,ABCD,May-22
Beaconsfield Parade,MIDDLE PARK,BC,May-22
Beaconsfield-Emerald Road,DEWHURST,AC,Apr-22
Beaconsfield-Emerald Road,BEACONSFIELD,C,Apr-22
Beauchamp Street,KYNETON,C,Nov-21
Beaufort-Skipton Road,LAKE GOLDSMITH,C,Nov-21
Beechworth-Wodonga Road,LENEVA,B,Oct-21
Beischer Street,EAST BENDIGO,BC,Apr-22
Belgrave Road,MALVERN EAST,B,May-22
Belgrave-Hallam Road,NARRE WARREN NORTH,ABC,Mar-22
Belgrave-Hallam Road,NARRE WARREN EAST,B,T
Bell Street,PRESTON,ABC,Dec-21
Bell Street,COBURG,BC,Apr-22
Bellarine Highway,POINT LONSDALE,ABC,May-21
Bellarine Highway,MOOLAP,C,Jan-22
Bellbridge Drive,HOPPERS CROSSING,ABC,Sep-21
Belmore Road,BALWYN,ABC,Apr-22
Belmore Road,BOX HILL NORTH,C,Apr-22
Benalla-Winton Road,BENALLA,BC,Feb-22
Benalla-Yarrawonga Road,GOORAMBAT,B,Feb-22
Benalla-Yarrawonga Road,DEVENISH,C,Feb-22
Bendigo-Maldon Road,MALDON,BC,Apr-22
Bendigo-Maryborough Road,LOCKWOOD,AB,Apr-22
Bendigo-Maryborough Road,SHELBOURNE,C,Apr-22
Bendigo-Maryborough Road,HAVELOCK,C,Apr-22
Bendigo-Murchison Road,MURCHISON,BC,Apr-22
Bendigo-Murchison Road,WANALTA,C,Mar-22
Bendigo-Pyramid Hill Road,RAYWOOD,ACD,Apr-22
Bendigo-Pyramid Hill Road,WOODVALE,CD,Apr-22
Bendigo-Redesdale Road,STRATHFIELDSAYE,C,Apr-22
Benetook Avenue,MILDURA SOUTH,ABC,Jul-21
Benetook Avenue,KOORLONG,C,Jul-21
Bengworden Road,BENGWORDEN,BCD,Sep-21
Bengworden Road,COBAINS,C,Jan-22
Bengworden Road,PERRY BRIDGE,C,Jan-22
Bengworden Road,CLYDEBANK,ABC,Jan-22
Bennett Road,HORSHAM,C,Jul-21
Bergins Road,ROWVILLE,ABC,Apr-22
Berrabri Drive,SCORESBY,BC,May-21
Bible Street,ELTHAM,AC,Apr-22
Biggs Street,ST ALBANS,BC,T
Birchip-Wycheproof Road,BIRCHIP,C,Oct-21
Birregurra Forrest  Road,BARWON DOWNS,AC,Jan-22
Birregurra Forrest Road,MURROON,AC,Jan-22
Black Dog Drive,BROOKFIELD,C,May-22
Black Flat Road,WHITTLESEA,C,Apr-22
Black Forest Drive,MACEDON,AC,Nov-21
Black Forest Road,WERRIBEE,C,Sep-21
Black Forest Road,WYNDHAM VALE,C,Sep-21
Blackburn Road,BLACKBURN SOUTH,ACD,Apr-22
Blackburn Road,GLEN WAVERLEY,C,Apr-22
Blackburn Road,MOUNT WAVERLEY,C,Apr-22
Blackgate Road,CONNEWARRE,ABCD,Jan-22
Blackgate Road,MOUNT DUNEED,ABCD,Jan-22
Blackshaws Road,ALTONA NORTH,C,Sep-21
Blackshaws Road,SPOTSWOOD,C,Sep-21
Bloomfield Road,NILMA NORTH,BC,Apr-22
Bloomfield Road,KEYSBOROUGH,C,Nov-21
Bluff Road,HAMPTON,ABC,May-22
Bluff Road,SANDRINGHAM,ABC,May-22
Blyth Street,ALTONA,BC,Sep-21
Bobs Street,WHITE HILLS,BC,Apr-22
Bolton Street,ELTHAM,ABCD,Apr-22
Boneo Road,ROSEBUD,C,Jan-22
Booran Road,GLEN HUNTLY,C,May-22
Boort-Kerang Road,KERANG,BC,T
Booth Street,PRESTON,BCD,Dec-21
Borung Highway,WOOROONOOK,AC,Oct-21
Borung Highway,DONALD,C,Oct-21
Botha Avenue,RESERVOIR,C,Apr-22
Boundary Road,NEWCOMB,BC,Jan-22
Boundary Road,NORTH MELBOURNE,BCD,May-22
Boundary Road,PASCOE VALE,C,Apr-22
Boundary Road,MORDIALLOC,C,May-22
Bourke Road,CLARINDA,AC,Sep-21
Bowden Street,CASTLEMAINE,C,Apr-22
Bowen Street,CAMBERWELL,BCD,Apr-22
Brady Road,DANDENONG NORTH,C,Nov-21
Brandy Creek Road,WARRAGUL,ABCD,Apr-22
Breadalbane Avenue,MERNDA,BC,Apr-22
Bree Road,HAMILTON,C,Apr-22
Bridge Inn Road,MERNDA,BC,Apr-22
Bridge Inn Road,DOREEN,BCD,Apr-22
Bridge Street,BENALLA,C,Feb-22
Bridgewater Road,PORTLAND,C,Oct-21
Bridgewater Road,TREWALLA,C,Oct-21
Bridgewater Road,CRAIGIEBURN,C,Apr-22
Bridgewater-Dunolly Road,WAANYARRA,ABCD,Apr-22
Bridgewater-Serpentine Road,BRIDGEWATER,C,Apr-22
Bridle Road,MORWELL,ABCD,T
Bright Street,CALIFORNIA GULLY,BCD,Apr-22
Brisbane Street,BERWICK,BCD,Mar-22
Broad Gully Road,DIAMOND CREEK,BC,Apr-22
Broadford-Flowerdale Road,TYAAK,C,Sep-21
Broadford-Flowerdale Road,STRATH CREEK,C,Oct-21
Broadford-Kilmore Road,BROADFORD,C,Sep-21
Broadford-Kilmore Road,KILMORE,C,Sep-21
Broadford-Wandong  Road,BROADFORD,C,Sep-21
Broadford-Wandong Road,BROADFORD,C,Sep-21
Broadford-Wandong Road,KILMORE EAST,C,Sep-21
Broadhurst Avenue,RESERVOIR,AC,Apr-22
Broadmeadows Road,TULLAMARINE,C,Apr-22
Broadmeadows Road Deviation,WESTMEADOWS,BC,Apr-22
Broadway,RESERVOIR,AC,Apr-22
Broadway,DUNOLLY,BCD,Apr-22
Broken River Drive,SHEPPARTON,ABC,Apr-22
Brooke Street,TOWONG,C,Oct-21
Brooklyn Road,BROOKFIELD,ABC,May-22
Brown Road,PAKENHAM,B,Apr-22
Browning Street,ORBOST,BC,May-22
Browning Street,PORTLAND,C,Oct-21
Browns Road,BOTANIC RIDGE,B,Mar-22
Browns Road,CRANBOURNE SOUTH,B,Mar-22
Browns Road,NOBLE PARK,C,Nov-21
Browns Road,NOBLE PARK NORTH,C,Nov-21
Brunswick Road,BRUNSWICK,C,Apr-22
Brunswick Street,FITZROY,ABCD,May-22
Bruthen-Nowa Nowa Road,BRUTHEN,C,Sep-21
Bruthen-Nowa Nowa Road,NOWA NOWA,C,Sep-21
Buckingham Drive,ROWVILLE,BCD,Apr-22
Buckley Street,KEILOR EAST,BC,Apr-22
Buckley Street,ESSENDON WEST,C,Apr-22
Buckley Street,ESSENDON,C,Apr-22
Bulban Road,WERRIBEE,ABCD,May-21
Bulla Road,BULLA,ABC,Apr-22
Bulla Road,STRATHMORE,ABCD,Apr-22
Bulleen Road,BALWYN NORTH,C,Apr-22
Bulmans Road,MELTON WEST,C,May-22
Bungower Road,SOMERVILLE,ABC,Jan-22
Bungower Road,MOOROODUC,BCD,Mar-22
Burke Road,WARRAGUL WEST,BCD,T
Burke Road,GLEN IRIS,C,May-22
Burke Road,MALVERN EAST,C,May-22
Burns Street,HAMILTON,C,Apr-22
Burwood Highway,KNOXFIELD,ABC,Jan-22
Burwood Highway,WANTIRNA SOUTH,ABC,Jan-22
Burwood Highway,WANTIRNA,AC,Jan-22
Cairns Road,HAMPTON PARK,BC,Mar-22
CALDER ALTERNATIVE Highway,RAVENSWOOD,ACD,Apr-22
Calder Alternative Highway,MARONG,C,Apr-22
Calder Freeway,HARCOURT,ABC,Apr-22
Calder Freeway,CARLSRUHE,ACD,Nov-21
Calder Freeway,GISBORNE,ACD,Nov-21
Calder Freeway,GISBORNE SOUTH,ACD,Nov-21
Calder Freeway,KYNETON,ACD,Nov-21
Calder Freeway,MACEDON,ACD,Nov-21
Calder Freeway,MALMSBURY,ACD,Nov-21
Calder Freeway,TARADALE,ACD,Nov-21
Calder Freeway,WOODEND,ACD,Nov-21
Calder Freeway,ELPHINSTONE,ACD,Apr-22
Calder Freeway,FARADAY,ACD,Apr-22
Calder Freeway,RAVENSWOOD SOUTH,ACD,Apr-22
Calder Freeway,KEILOR NORTH,BC,T
Calder Highway,SEA LAKE,A,Oct-21
Calder Highway,OUYEN,ABC,Jul-21
Calder Highway,HATTAH,AC,Jul-21
Calder Highway,BIG HILL,ACD,Apr-22
Calder Highway,MAIDEN GULLY,ACD,Apr-22
Calder Highway,RAVENSWOOD,ACD,Apr-22
Calder Highway,RAVENSWOOD SOUTH,ACD,Apr-22
Calder Highway,RED CLIFFS,BC,Jul-21
Calder Highway,CABARITA,C,Jul-21
Calder Highway,MERBEIN,C,Jul-21
Calder Highway,MERBEIN WEST,C,Jul-21
Calder Highway,MILDURA,C,Jul-21
Calder Highway,MITTYACK,C,Jul-21
Calder Highway,YATPOOL,C,Jul-21
Calder Highway,YELTA,C,Jul-21
Calder Highway,BERRIWILLOCK,C,Oct-21
Calder Highway,CULGOA,C,Oct-21
Calder Highway,DUMOSA,C,Oct-21
Calder Highway,NANDALY,C,Oct-21
Calder Highway,NINDA,C,Oct-21
Calder Highway,NULLAWIL,C,Oct-21
Calder Highway,TEDDYWADDY,C,Oct-21
Calder Highway,WARNE,C,Oct-21
Calder Highway,WOOSANG,C,Oct-21
Calder Highway,WYCHEPROOF SOUTH,C,Oct-21
Calder Highway,LEICHARDT,C,Apr-22
Calder Highway,MARONG,C,Apr-22
Calder Highway,BRIDGEWATER ON LODDON,C,Apr-22
Calder Highway,DERBY,C,Apr-22
Calder Highway,GLENALBYN,C,Apr-22
Calder Highway,KURTING,C,Apr-22
Calder Park Drive,CALDER PARK,ABC,T
Calder Park Drive,SYDENHAM,ABC,T
Calder Park Drive,TAYLORS HILL,BC,May-22
Caldwells Road,EAGLEHAWK,BCD,Apr-22
Caledonia Street,ST ANDREWS,BCD,Apr-22
Calvert Street,BAIRNSDALE,C,Sep-21
Cambden Park Parade,FERNTREE GULLY,BC,Jul-21
Camelot Drive,GLEN WAVERLEY,C,Apr-22
Cameron Parade,BUNDOORA,ABC,Apr-22
Camp Road,BROADMEADOWS,AC,Apr-22
Campaspe Esplanade,ECHUCA,BCD,Mar-22
Campbell Street,ARARAT,B,Jul-21
Canning Street,AVONDALE HEIGHTS,AC,Apr-22
Cansick Street,ROSEDALE,ABC,Jan-22
Canterbury Road,MIDDLE PARK,ABCD,May-22
Canterbury Road,MONTROSE,BC,May-21
Canterbury Road,BLACKBURN SOUTH,C,Apr-22
Canterbury Road,BOX HILL,C,Apr-22
Cape Nelson Road,PORTLAND,C,Oct-21
Cape Otway Road,BIRREGURRA,ABC,Jan-22
Cape Otway Road,WINCHELSEA,ABC,Jan-22
Carnarvon Road,STRATHMORE,C,Apr-22
Carngham Road,BUNKERS HILL,C,Nov-21
Carngham Road,HADDON,C,Nov-21
Carpenter Street,QUARRY HILL,ABCD,Apr-22
Carpenter Street,SPRING GULLY,BCD,Apr-22
Carrick Drive,GLADSTONE PARK,ABC,Apr-22
Carroll Road,OAKLEIGH SOUTH,C,May-22
Castlemaine-Maldon Road,MUCKLEFORD,C,Apr-22
Centenary Avenue,MELTON WEST,B,May-22
Centenary Avenue,MELTON,C,May-22
Centenary Drive,MILL PARK,AC,Apr-22
Central Park Road,MALVERN EAST,BCD,May-22
Central Road,NUNAWADING,C,Apr-22
Centre Dandenong Road,MOORABBIN AIRPORT,AC,May-22
Centre Dandenong Road,CHELTENHAM,C,Sep-21
Centre Road,BENTLEIGH EAST,AC,May-22
Centre Road,LANGWARRIN,C,Jan-22
Centre Road,BENTLEIGH,C,May-22
Chadstone Road,MALVERN EAST,C,May-22
Champion Road,NEWPORT,C,Sep-21
Champions Parade,WOLLERT,BCD,Dec-21
Chandler Road,KEYSBOROUGH,BC,Nov-21
Chapel Road,KEYSBOROUGH,BC,Nov-21
Chapel Street,SOUTH YARRA,ACD,May-22
Charlton-St Arnaud Road,ST ARNAUD,C,Jul-21
Chatsworth-Hamilton Road,CROXTON EAST,ABC,Apr-22
Chauncey Street,LANCEFIELD,C,T
Cheddar Road East,RESERVOIR,BCD,May-22
Cheddar Road West,RESERVOIR,BCD,Apr-22
Chenery Street,MANSFIELD,C,Sep-21
Cherry Tree Road,PANTON HILL,AC,Apr-22
Chesterville Road,CHELTENHAM NORTH,C,Sep-21
Chifley Drive,PRESTON,BCD,Apr-22
Childers Street,PORTLAND,C,Oct-21
Childs Road,LALOR,ABCD,Apr-22
Childs Road,MILL PARK,AC,Apr-22
Chisholm Street,BALLARAT,C,Nov-21
Christies Road,LEOPOLD,AC,Jan-22
Chum Creek Road,HEALESVILLE,ABCD,Nov-21
Chum Street,GOLDEN SQUARE,BCD,Apr-22
Church Street,GROVEDALE,BC,Jan-22
Church Street,RICHMOND,BCD,May-22
Churchill-Traralgon Road,TRARALGON,AC,T
Cimberwood Drive,CRAIGIEBURN,C,Apr-22
Civic Parade,ALTONA,C,Sep-21
Claremont Avenue,MALVERN,BCD,May-22
Clarinda Road,CLARINDA,AC,Sep-21
Clarke Road,SPRINGVALE SOUTH,C,Nov-21
Clarkes Road,BROOKFIELD,BC,May-22
Clayton Road,CLAYTON SOUTH,C,Sep-21
Clayton Road,CLAYTON,C,Apr-22
Clifton Springs Road,CLIFTON SPRINGS,BC,Jan-22
Clyde-Five Ways Road,CLYDE,BC,Apr-22
Cobden-Warrnambool Road,GLENFYNE,ABC,Nov-21
Coburns Road,TOOLERN VALE,C,May-22
Cohuna-Koondrook Road,GANNAWARRA,C,Oct-21
Cohuna-Koondrook Road,KOONDROOK,C,Oct-21
Cohuna-Leitchville Road,LEITCHVILLE,BC,Oct-21
Colac Forrest Road,YEODENE,AC,Jan-22
Colac-Ballarat  Road,WEERING,BC,Jan-22
Colac-Ballarat Road,ROKEWOOD,BC,Dec-21
Colac-Ballarat Road,BEEAC,BC,Jan-22
Colac-Lavers Hill Road,BARONGAROOK,C,Jan-22
Colchester Road,KILSYTH SOUTH,AC,Apr-22
Coleraine-Balmoral Road,BALMORAL,C,Apr-22
Commercial Street,MERBEIN,BC,Jul-21
Como Parade West,PARKDALE,C,May-22
Condon Street,KENNINGTON,ABCD,Apr-22
Cookes Road,DOREEN,BC,Apr-22
Coolart Road,MOOROODUC,AC,Jan-22
Coombes Road,TORQUAY,BC,Jan-22
Cooper Street,SOMERTON,ABC,Apr-22
Cooper Street,EPPING,ABCD,Apr-22
Coppards Road,MOOLAP,BC,Jan-22
Coppards Road,NEWCOMB,C,Jan-22
Copperfield Drive,DELAHEY,BC,T
Cornwall Road,SUNSHINE,ABC,T
Corrigan Road,KEYSBOROUGH,C,Nov-21
Corrigan Road,NOBLE PARK,C,Nov-21
Coulstock Street,WARRNAMBOOL,C,Nov-21
Cowra Avenue,IRYMPLE,ABC,Jul-21
Craig Road,CRANBOURNE SOUTH,B,Mar-22
Craig Road,DEVON MEADOWS,B,Mar-22
Craigie Road,MOUNT MARTHA,C,Jan-22
Craigieburn Road,CRAIGIEBURN,AC,Apr-22
Craigieburn Road,WOLLERT,AC,Apr-22
Cramer Street,WARRNAMBOOL,C,Nov-21
Cranbourne-Frankston Road,LANGWARRIN,ABC,Jan-22
CRANE Street,JACKASS FLAT,ACD,Apr-22
Cravens Road,MERNDA,BCD,Apr-22
Creswick Road,BALLARAT,C,Sep-21
Creswick-Newstead Road,NEWSTEAD,C,Apr-22
Crook Street,KENNINGTON,BCD,Apr-22
Crusoe Road,KANGAROO FLAT,ABCD,Apr-22
Curlewis Road,CURLEWIS,C,May-21
Curtin Street,FLORA HILL,BCD,Apr-22
Dalmore Road,KOO WEE RUP,BC,Apr-22
Dalrymple Road,SUNBURY,C,Apr-22
Dalton Road,LALOR,BCD,Apr-22
Dandenong Bypass,DANDENONG SOUTH,BC,Nov-21
Dandenong Road,WINDSOR,ABCD,Jan-22
Dandenong Road,PRAHRAN,ABCD,Feb-22
Dandenong Road East,FRANKSTON,ABC,Jan-22
Dandenong-Hastings Road,CRANBOURNE,C,Mar-22
Danks Street,MIDDLE PARK,ABCD,May-22
Darebin Road,THORNBURY,BCD,May-22
Dargo road,LINDENOW,C,Sep-21
Darian Road,TORQUAY,BC,Jan-22
Darling Road,MALVERN EAST,C,May-22
Darlington Road,STAWELL,C,Jul-21
Dartmoor-Hamilton Road,YULECART,ABC,Apr-22
Dartmoor-Hamilton Road,HAMILTON,C,Apr-22
Davisson Street,EPPING,C,Apr-22
De Rossi Boulevard,WOLLERT,BCD,Dec-21
Deakin Avenue,MILDURA,ABC,Jul-21
Deep Creek Road,MITCHAM,BC,Apr-22
Delatite Road,SEYMOUR,C,Oct-21
Dendy Street,BRIGHTON,A,May-22
Dendy Street,BRIGHTON EAST,ABC,May-22
Derby Street,PASCOE VALE,C,Apr-22
Derril Road,PORTLAND,ABCD,May-21
Derrimut Road,HOPPERS CROSSING,C,Sep-21
Devon Road,PASCOE VALE,C,Apr-22
Diamond Creek Road,GREENSBOROUGH,ABCD,May-22
Diggers Rest-Coimadai Road,TOOLERN VALE,BC,May-22
Dinah Parade,KEILOR EAST,C,Apr-22
Dingley Bypass,HEATHERTON,AC,May-22
Don Road,BADGER CREEK,AC,Jan-22
Donald Cameron Drive,ROXBURGH PARK,C,Apr-22
Doncaster Road,BALWYN NORTH,AC,Apr-22
Donnybrook Road,MICKLEHAM,ABC,Apr-22
Donnybrook Road,YAN YEAN,C,Jun-21
Donovans Way,MANSFIELD,BCD,Sep-21
Dooen Road,HORSHAM,C,Jul-21
Dorset Road,CROYDON,ABC,Apr-22
Dorset Road,BORONIA,C,Apr-22
Dougharty Road,HEIDELBERG HEIGHTS,BCD,Dec-21
Doveton Street North,INVERMAY PARK,BC,Nov-21
Downes Road,CASTLEMAINE,C,T
Driscolls Road,KEALBA,BC,T
Dromana Parade,SAFETY BEACH,ABCD,Jan-22
Drummond Street South,BALLARAT,C,Nov-21
Drysdale-Ocean Grove Road,WALLINGTON,BC,May-21
Duff Street,CRANBOURNE WEST,B,Mar-22
Dunblane Road,NOBLE PARK,BC,Nov-21
Duncan Drive,PAKENHAM,BC,Apr-22
Duncans Road,WERRIBEE,C,Sep-21
Dundas Road,MARYBOROUGH,BCD,Apr-22
Dundas Street,PRESTON,ABC,Apr-22
Dundas Street,RYE,C,Jan-22
Dunkeld-Cavendish Road,MOUTAJUP,AC,Apr-22
Dunne Street,KINGSBURY,ABC,Apr-22
Dunns Road,MOUNT MARTHA,BC,Jan-22
