MOBILE SAFETY CAMERA LOCATION DESCRIPTION REPORT,,,
Dynon Road,WEST MELBOURNE,ABCD,May-22
East Boundary Road,BENTLEIGH EAST,C,May-22
East Esplanade,ST ALBANS,C,T
East Street,HADFIELD,BC,Apr-22
Eastbourne Road,ROSEBUD,ABC,Jan-22
Eastfield Road,CROYDON,ABCD,Feb-22
Eaststone Avenue,WOLLERT,BCD,Dec-21
Echuca-Kyabram Road,ECHUCA,BC,Mar-22
Echuca-Mooroopna Road,MOOROOPNA NORTH,BC,Apr-22
Echuca-Mooroopna Road,UNDERA,BC,Apr-22
Echuca-Mooroopna Road,ST GERMAINS,C,Apr-22
Edenvale Boulevard,WOLLERT,BCD,Dec-21
Edgar Street,PORTLAND,C,Oct-21
Edgars Road,LALOR,ABCD,Apr-22
Edgars Road,EPPING,BC,Apr-22
Edgecombe Road,KYNETON,AC,Nov-21
Edward Road,CHIRNSIDE PARK,ABC,Jul-21
Edwards Road,JACKASS FLAT,ABCD,Apr-22
Edwards Street,SEBASTOPOL,ABCD,Nov-21
Eighth Street,MILDURA,C,Jul-21
Elcho Road,LARA,BC,Jan-22
Elder Street,WATSONIA,BC,Apr-22
Eleventh Street,MILDURA,ABC,Jul-21
Eleventh Street,IRYMPLE,C,Jul-21
Elgar Road,BOX HILL SOUTH,C,Apr-22
Elgar Road,BURWOOD,C,Apr-22
Elizabeth Drive,SUNBURY,BC,Apr-22
Elizabeth Street,COBURG,ABC,Apr-22
Elizabeth Street,ARARAT,BC,T
Elizabeth Street,EDENHOPE,C,Jul-21
Elliott Parade,LYNBROOK,ABCD,Mar-22
Elm Street,WODONGA,ABCD,Oct-21
Eltham-Yarra Glen Road,KANGAROO GROUND,ABCD,Apr-22
Eltham-Yarra Glen Road,CHRISTMAS HILLS,AC,Apr-22
Eltham-Yarra Glen Road,WATSONS CREEK,B,Apr-22
Emu Creek Road,STRATHFIELDSAYE,AC,T
Emu Road,MAIDSTONE,BC,Sep-21
Epping Road,WOLLERT,ABCD,Apr-22
Epping Road,EPPING,BCD,Apr-22
Epping Road,WOODSTOCK,C,Apr-22
Epping-Kilmore Road,WANDONG,C,Sep-21
Epsom Road,ASCOT VALE,C,Apr-22
Epsom-Barnadown Road,ASCOT,BC,Apr-22
Ernst Wanke Road,BERWICK,B,Mar-22
Erskine Road,MACLEOD,AC,Apr-22
Esplanade,BRIGHTON,AC,May-22
Essex Street,WEST FOOTSCRAY,C,Sep-21
Etiwanda Avenue,MILDURA,BC,Jul-21
Eureka Street,BALLARAT EAST,ABC,Nov-21
Euroa-Mansfield Road,GOORAM,ABC,Sep-21
Euroa-Mansfield Road,EUROA,ABC,Nov-21
Euroa-Mansfield Road,MERTON,C,Sep-21
Euroa-Shepparton Road,KARRAMOMUS,ABC,Apr-22
Euroa-Shepparton Road,EUROA,C,Oct-21
Euroa-Shepparton Road,MIEPOLL,C,Oct-21
Everleigh Drive,DIAMOND CREEK,BD,Apr-22
Exford Road,EXFORD,C,May-22
Exford Road,MELTON SOUTH,C,May-22
Eynesbury Road,EYNESBURY,BC,May-22
Eyre Street,ECHUCA,C,Mar-22
Fairbank Road,CLAYTON SOUTH,ABCD,Nov-21
Federation Way,BOWSER,ABC,May-21
Felltimber Creek Road,WODONGA,BC,Oct-21
Ferrars Street,ALBERT PARK,BCD,May-22
Ferris Road,MELTON SOUTH,C,May-22
Fifteenth Street,IRYMPLE,C,Jul-21
Finch Street,MALVERN EAST,ABCD,May-22
Findon Road,SOUTH MORANG,BC,Apr-22
Findon Road,EPPING,BCD,Apr-22
Finlayson Street,ROSANNA,B,Apr-22
Flaxen Hills Road,DOREEN,BC,Apr-22
Flaxman Street,WARRNAMBOOL,ABCD,Nov-21
Ford Road,SHEPPARTON,BC,Apr-22
Forrest Street,ALBION,BC,T
Forrest Street,ARDEER,BC,T
Fourteenth Street,IRYMPLE,C,Jul-21
Frankston-Dandenong Road,BANGHOLME,C,Nov-21
Frankston-Dandenong Road,SEAFORD,C,Jan-22
Frankston-Dandenong Road,FRANKSTON,C,Jan-22
Frankston-Flinders Road,BITTERN,ABC,Jan-22
Frankston-Flinders Road,SOMERVILLE,ABC,Jan-22
Frawley Road,HALLAM,ABC,Mar-22
Fryers Road,HIGHTON,BCD,Mar-22
Fussell Street,BALLARAT EAST,BC,Nov-21
Fyansford-Gheringhap Road,GHERINGHAP,BC,Jan-22
Gaffney Street,PASCOE VALE,C,Apr-22
Gallaghers Road,GLEN WAVERLEY,C,Apr-22
Gap Road,SUNBURY,ABC,Apr-22
Garden Road,DOREEN,ABCD,Apr-22
Gardenia Street,HORSHAM,AC,Jul-21
Gardner and Holman Road,DROUIN,BCD,T
Gateshead Drive,WANTIRNA SOUTH,BCD,May-21
Gear Avenue,MOUNT HELEN,BC,Nov-21
Geelong-Bacchus Marsh Road,BALLIANG EAST,C,Nov-21
Geelong-Bacchus Marsh Road,BACCHUS MARSH,C,Nov-21
Geelong-Ballan Road,BEREMBOKE,ABC,T
Geelong-Ballan Road,MOUNT WALLACE,ABC,T
Geelong-Ballan Road,BALLAN,ABC,Nov-21
George Street,SANDRINGHAM,AC,T
George Street,HAMILTON,C,Apr-22
George Street,DONCASTER,C,Apr-22
Gibsons Road,SALE,C,Jan-22
Gilbert Road,RESERVOIR,ABCD,Apr-22
Gillies Road,ASCOT,BC,Nov-21
Gillies Road,BALD HILLS,BC,Nov-21
Gillies Road,MOUNT ROWAN,BC,Nov-21
Gillies Road,SULKY,BC,Nov-21
Gillies Street,MARYBOROUGH,BCD,Nov-21
Gillwell Road,LALOR,BCD,May-22
Gisborne Road,BACCHUS MARSH,C,Nov-21
Gisborne-Melton Road,KURUNJANG,ABC,May-22
Gisborne-Melton Road,TOOLERN VALE,ABC,May-22
Gisborne-Melton Road,MELTON,BC,May-22
Gladesville Boulevard,PATTERSON LAKES,ACD,Sep-21
Gladstone Road,DANDENONG NORTH,C,T
Gladstone Street,MARYBOROUGH,C,Apr-22
Glen Huntly Road,ELWOOD,BC,May-22
Glen Katherine Drive,ST HELENA,B,Apr-22
Glencairn Drive,GREENVALE,BC,Apr-22
Glenelg Highway,DUNKELD,ABC,Apr-22
Glenelg Highway,LAKE BOLAC,AC,Jul-21
Glenelg Highway,WICKLIFFE,AC,Jul-21
Glenelg Highway,WARRAYURE,AC,Apr-22
Glenelg Highway,SMYTHESDALE,BC,T
Glenelg Highway,PITTONG,C,T
Glenelg Highway,STREATHAM,C,Jul-21
Glenelg Highway,WESTMERE,C,Jul-21
Glenelg Highway,CARRANBALLAC,C,Sep-21
Glenelg Highway,CASTERTON,C,Oct-21
Glenelg Highway,WILKIN,C,Oct-21
Glenelg Highway,SKIPTON,C,Nov-21
Glenelg Highway,SMYTHES CREEK,C,Nov-21
Glenelg Highway,COLERAINE,C,Apr-22
Glenelg Highway,GLENTHOMPSON,C,Apr-22
Glenelg Highway,HAMILTON,C,Apr-22
Glenelg Highway,WANNON,C,Apr-22
Glenfern Road,UPWEY,ABC,Jul-21
Glenferrie Road,MALVERN,C,May-22
Glengala Road,SUNSHINE WEST,C,T
Glengarry West Road,GLENGARRY WEST,AC,T
Glenrowan Myrtleford Road,MARKWOOD,C,May-21
Glenrowan-Myrtleford Road,WHOROULY,ABC,May-21
Glenrowan-Myrtleford Road,LACEBY,AC,May-21
Glenroy Road,GLENROY,C,Apr-22
Golf Links Road,NARRE WARREN,B,Mar-22
Golf Links Road,FRANKSTON,C,Jan-22
Goodwin Street,BENALLA,BC,Feb-22
Gordons Road,SOUTH MORANG,BCD,Apr-22
Gorge Road,SOUTH MORANG,AC,Apr-22
Goulburn Valley Freeway,MANGALORE,AC,Oct-21
Goulburn Valley Freeway,NAGAMBIE,C,Oct-21
Goulburn Valley Freeway,WAHRING,C,Oct-21
Goulburn Valley Freeway,MOORILIM,C,Apr-22
Goulburn Valley Freeway,ARCADIA,B,Apr-22
Goulburn Valley Highway,NUMURKAH,ABC,Oct-21
Goulburn Valley Highway,SEYMOUR,ABC,Oct-21
Goulburn Valley Highway,MOLESWORTH,AC,Oct-21
Goulburn Valley Highway,KORIELLA,C,Sep-21
Goulburn Valley Highway,KOONOOMOO,C,Oct-21
Goulburn Valley Highway,WUNGHNU,C,Oct-21
Goulburn Valley Highway,EILDON,C,Oct-21
Goulburn Valley Highway,HOMEWOOD,C,Oct-21
Goulburn Valley Highway,KIALLA WEST,C,Apr-22
Goulburn Valley Highway,TALLYGAROOPNA,C,Apr-22
Goulburn Valley Hwy,SHEPPARTON NORTH,AC,Apr-22
Gourlay Road,HILLSIDE,ABCD,May-22
Gourlay Road,TAYLORS HILL,BC,May-22
Governor Road,BRAESIDE,AC,May-22
Goynes Road,EPSOM,ABCD,Apr-22
Graham Street,PORT MELBOURNE,ABCD,May-22
Grampians Road,MOKEPILLY,AC,Jul-21
Grampians Road,HALLS GAP,C,Jul-21
Grange Drive,SOUTH MORANG,BC,Apr-22
Grange Road,TOORAK,ABC,May-22
Grange Road,ALPHINGTON,AC,Apr-22
Grano Street,ARARAT,B,Jul-21
Grants Road,EDEN PARK,C,Apr-22
Grants Road,WHITTLESEA,AC,Apr-22
Gravesend Street,COLAC,AC,Jan-22
Gray Street,SWAN HILL,C,Oct-21
Graydens Road,HASTINGS,ABC,Jan-22
Great Alpine Road,BOWMANS FOREST,ABC,May-21
Great Alpine Road,EUROBIN,ABC,May-21
Great Alpine Road,OVENS,B,May-21
Great Alpine Road,DOCTORS FLAT,BC,Sep-21
Great Alpine Road,GRANITE ROCK,C,Sep-21
Great Alpine Road,OMEO,C,Sep-21
Great Alpine Road,WISELEIGH,C,Sep-21
Great Alpine Road,SARSFIELD,C,Sep-21
Great Alpine Road,SWIFTS CREEK,C,Sep-21
Great Ocean  Road,ANGLESEA,ABCD,Jan-22
Great Ocean  Road,APOLLO BAY,C,Jan-22
Great Ocean Road,LORNE,ABC,Jan-22
Great Ocean Road,WONGARRA,AC,Jan-22
Great Ocean Road,PORT CAMPBELL,BC,Nov-21
Great Ocean Road,PETERBOROUGH,C,Nov-21
Great Ocean Road,SKENES CREEK,C,Jan-22
Greaves Road,NARRE WARREN SOUTH,B,Mar-22
Green Street,NOBLE PARK,B,Nov-21
Greenhalghs Road,BUNKERS HILL,BC,Nov-21
Greenhalghs Road,DELACOMBE,C,Nov-21
Greenvale Drive,GREENVALE,BC,Apr-22
Greenwood Drive,BUNDOORA,BCD,Apr-22
Greigs Road,ROCKBANK,ABCD,May-22
Greigs Road,STRATHTULLOH,ABCD,May-22
Greythorn Road,BALWYN NORTH,C,Apr-22
Grimshaw Street,BUNDOORA,ABCD,Dec-21
Grubb Road,OCEAN GROVE,BC,May-21
Guthridge Parade,SALE,C,T
Guys Hill Road,STRATHFIELDSAYE,ABCD,Apr-22
Hall Road,CARRUM DOWNS,ABC,Jan-22
Hamilton  Highway,WINGEEL,AC,Jan-22
Hamilton Highway,CRESSY,ABC,Jan-22
Hamilton Highway,MURGHEBOLUC,AC,Dec-21
Hamilton Highway,STONEHAVEN,AC,Dec-21
Hamilton Highway,GNARWARRE,BC,Dec-21
Hamilton Highway,BERRYBANK,C,Nov-21
Hamilton Highway,LISMORE,C,Nov-21
Hamilton Highway,MORTLAKE,C,Nov-21
Hamilton Highway,PENSHURST,C,Apr-22
Hamilton-Natimuk Road,CAVENDISH,C,Apr-22
Hampden Road,ARMADALE,CD,May-22
Hampton Street,BRIGHTON,ABCD,Nov-21
Hanlon Parade,PORTLAND,C,Oct-21
Hanson Road,CRAIGIEBURN,C,Apr-22
Harcourt Road,BORONIA,BC,Jul-21
Harding Street,COBURG,BCD,Mar-22
Hargraves Street,CASTLEMAINE,C,Apr-22
Hargreaves Street,GOLDEN SQUARE,BCD,Apr-22
Harold Road,SPRINGVALE SOUTH,C,Nov-21
Harris Street,WARRNAMBOOL,C,Nov-21
Hartington Drive,WANTIRNA,ABCD,May-21
Hattah-Robinvale Road,HATTAH,C,Jul-21
Havilah Road,LONG GULLY,BCD,Apr-22
Hawkins Street,SHEPPARTON,BC,Apr-22
Hawthorn Road,CAULFIELD SOUTH,B,May-22
Hazel Glen Drive,MERNDA,C,Apr-22
Heads Road,DONVALE,C,Apr-22
Healesville-Koo Wee Rup Road,YELLINGBO,ABC,T
Healesville-Koo Wee Rup Road,WOORI YALLOCK,ABC,Jul-21
Heathcote-Kyneton Road,LANGLEY,AC,Apr-22
Heathcote-Nagambie Road,GRAYTOWN,C,Oct-21
Heathcote-Nagambie Road,NAGAMBIE,C,Oct-21
Heatherdale Road,MITCHAM,C,Apr-22
Heatherton Road,CLAYTON SOUTH,AC,May-22
Heatherton Road,ENDEAVOUR HILLS,C,Mar-22
Heaths Road,HOPPERS CROSSING,C,Sep-21
Heaths Road,WERRIBEE,C,Sep-21
Hedderwick Street,ESSENDON,C,Apr-22
Heidelberg Road,CLIFTON HILL,BC,May-22
Heidelberg-Kinglake Road,ST ANDREWS,ABC,Apr-22
Heidelberg-Kinglake Road,COTTLES BRIDGE,ABCD,Apr-22
Heidelberg-Kinglake Road,WATTLE GLEN,AC,Apr-22
Heidelberg-Warrandyte Road,WARRANDYTE,C,Apr-22
Heinz Lane,INVERMAY PARK,BC,Nov-21
Hendy Main Road,MORIAC,ABC,Jan-22
Hensley Park Road,HAMILTON,C,Apr-22
Henty Highway,BRANXHOLME,ABC,Apr-22
Henty Highway,HAMILTON,ABC,Apr-22
Henty Highway,BRIMPAEN,C,Jul-21
Henty Highway,BYRNEVILLE,C,Jul-21
Henty Highway,HAVEN,C,Jul-21
Henty Highway,KEWELL NORTH,C,Jul-21
Henty Highway,RIVERSIDE,C,Jul-21
Henty Highway,WONWONDAH NORTH,C,Jul-21
Henty Highway,MOORALLA,C,Apr-22
Henty Street,RESERVOIR,ABCD,Apr-22
Herbert Street,BORONIA,BC,Jul-21
Hertford Road,SUNSHINE,BC,T
Hidden Valley Boulevard,WALLAN,BC,May-21
High Street,THOMASTOWN,ABCD,Apr-22
High Street,WINDSOR,ABCD,May-22
High Street,ARARAT,AC,Jul-21
High Street,GOLDEN SQUARE,AC,Apr-22
High Street,RESERVOIR,AC,Apr-22
High Street,EILDON,B,Oct-21
High Street,EPPING,BCD,Jan-22
High Street,LALOR,BCD,Apr-22
High Street,BROADFORD,C,Sep-21
High Street,SEYMOUR,C,Oct-21
High Street,DONCASTER,C,Apr-22
High Street,KEW,C,Apr-22
High Street,TEMPLESTOWE,C,Apr-22
High Street,GLEN IRIS,C,May-22
High Street Road,WANTIRNA SOUTH,AC,May-21
High Street Road,MOUNT WAVERLEY,C,Apr-22
Highbury Road,GLEN WAVERLEY,C,Apr-22
Highbury Road,MOUNT WAVERLEY,C,Apr-22
Highett Road,HIGHETT,ABCD,May-22
Highlands Road,SEYMOUR,ABC,Oct-21
Highpark Drive,WOLLERT,BCD,Dec-21
Highton Lane,MANSFIELD,BC,Sep-21
Hilma Street,SUNSHINE WEST,C,T
Hodder Street,BRIGHTON EAST,AC,May-22
Hodgins Road,HASTINGS,BCD,Jan-22
Hodgson Street,EAGLEHAWK,BCD,Apr-22
Hoffmans Road,NIDDRIE,C,Apr-22
Holden Road,DIGGERS REST,C,May-22
Holdsworth Road,NORTH BENDIGO,ABCD,Apr-22
Holdsworth Road,WHITE HILLS,ABCD,Apr-22
Holmes Street,BRUNSWICK,C,Apr-22
Hopetoun Road,TOORAK,BC,May-22
Hopkins Highway,PURNIM,C,Nov-21
Hopkins Highway,GRASSMERE,BC,Nov-21
Horace Street,MALVERN,BC,May-22
Horseshoe Bend Road,MOUNT DUNEED,BC,Jan-22
Horseshoe Bend Road,TORQUAY,BC,Jan-22
Hosie Road,SHEPPARTON EAST,B,Apr-22
Hotham Road,PORTSEA,C,Jan-22
Hotham Street,RIPPONLEA,ABCD,Nov-21
Howard Street,EPSOM,ACD,Apr-22
Howard Street,JACKASS FLAT,CD,Apr-22
Howe Parade,GARDEN CITY,B,May-22
Howitt Street,WARRAGUL,ACD,Apr-22
Hughes Parade,RESERVOIR,ABC,Apr-22
Hughes Street,OUYEN,C,Jul-21
Hull Road,CROYDON,AC,Apr-22
Hume Drive,SYDENHAM,ABC,T
Hume Drive,TAYLORS HILL,BC,May-22
Hume Freeway,BORALMA,ABC,May-21
Hume Freeway,BOWSER,ABC,May-21
Hume Freeway,SEYMOUR,ABC,Oct-21
Hume Freeway,TALLAROOK,ABC,Oct-21
Hume Freeway,WANGARATTA,AC,May-21
Hume Freeway,VIOLET TOWN,AC,Sep-21
Hume Freeway,LOCKSLEY,AC,Oct-21
Hume Freeway,WODONGA,AC,Oct-21
Hume Freeway,CHILTERN,BC,Oct-21
Hume Freeway,AVENEL,C,Oct-21
Hume Freeway,EUROA,C,Oct-21
Humffray Street North,BALLARAT,C,Nov-21
Humphries Road,FRANKSTON,C,Jan-22
Huntingdale Road,MOUNT WAVERLEY,C,Apr-22
Huon Creek Road,WODONGA,C,Oct-21
Hurd Street,PORTLAND,C,Oct-21
Hutchison Street,SALE,C,Jan-22
Hutton Road,KEYSBOROUGH,C,Nov-21
Hyde Street,SEDDON,BCD,Mar-22
Hyland Highway,TRARALGON,ABC,T
Hyland Highway,FLYNNS CREEK UPPER,ABC,Jan-22
Hyland Highway,YARRAM,C,Jan-22
Ingles Street,SOUTH MELBOURNE,BCD,May-22
Inglis Road,BERWICK,BC,Mar-22
Inglis Street,GOLDEN SQUARE,CD,Apr-22
Ingrams Road,RESEARCH,BCD,T
Inkerman Street,MARYBOROUGH,ABCD,Apr-22
Inverloch-Venus Bay Road,POUND CREEK,BC,T
Inverloch-Venus Bay Road,INVERLOCH,B,T
Ironbark Road,YARRAMBAT,ACD,Apr-22
Jacaranda Street,RED CLIFFS,BC,Jul-21
Jacksons Road,NOBLE PARK NORTH,BC,Nov-21
James Mirams Drive,ROXBURGH PARK,AC,Apr-22
Jasper Road,BENTLEIGH,ABC,May-22
Jasper Road,MCKINNON,BC,May-22
Jeeralang North Road,HAZELWOOD NORTH,ABC,T
Jetty Road,ROSEBUD,C,Jan-22
JOBS GULLY Road,JACKASS FLAT,CD,Apr-22
Jukes Road,FAWKNER,ABC,Apr-22
Kangaroo Ground-St Andrews Road,SMITHS GULLY,A,Apr-22
Kangaroo Ground-St Andrews Road,KANGAROO GROUND,AC,Apr-22
Kangaroo Ground-St Andrews Road,PANTON HILL,AC,Apr-22
Kangaroo Ground-Warrandyte Road,KANGAROO GROUND,BC,Apr-22
Kangaroo Road,MURRUMBEENA,B,May-22
Karadoc Avenue,IRYMPLE,BC,Jul-21
Karingal Drive,FRANKSTON,ABC,Jan-22
Karook Street,COBRAM,AC,Oct-21
Kars Street,FRANKSTON,C,Jan-22
Katamatite Road,CONGUPNA,C,Apr-22
Katamatite-Shepparton Road,TALLYGAROOPNA,C,Apr-22
Keera Street,GEELONG,BCD,Jan-22
Keilor Park Drive,KEILOR PARK,C,T
Kelvinside Road,NOBLE PARK,BC,Nov-21
Kenmare Street,WATSONIA,C,Apr-22
Kennedy Street,CASTLEMAINE,C,Apr-22
Kensington Road,KENSINGTON,ABC,May-22
Kensington Road,LEOPOLD,BC,Jan-22
Kent Street,ASCOT VALE,BC,Apr-22
Keon Parade,KEON PARK,BCD,May-22
Kerang-Koondrook Road,TEAL POINT,C,Oct-21
Kerang-Murrabit Road,KERANG,BC,Oct-21
Kerang-Murrabit Road,WESTBY,BC,Oct-21
Kerferd Road,ALBERT PARK,ABC,May-22
Keys Road,MOORABBIN EAST,C,May-22
Kialla Lakes Drive,KIALLA,ABCD,Apr-22
Kiewa Valley Highway,BARANDUDA,A,Oct-21
Kiewa Valley Highway,KIEWA,ABC,Oct-21
Kiewa Valley Highway,RUNNING CREEK,AC,May-21
Kiewa Valley Highway,BANDIANA,AC,Oct-21
Kiewa Valley Highway,DEDERANG,BC,May-21
Kilmore Road,NEW GISBORNE,AC,Nov-21
Kilmore-Epping Road,WALLAN,ABC,May-21
Kilmore-Lancefield Road,KILMORE,C,Sep-21
King Parrot Creek Road,STRATH CREEK,C,Oct-21
King Street,HAMILTON,C,Apr-22
King Street,DONCASTER,C,Apr-22
Kinglake Drive,WYNDHAM VALE,ABCD,Sep-21
Kings Road,DELAHEY,ABCD,Nov-21
Kings Road,KINGS PARK,ABCD,Nov-21
Kings Road,TAYLORS LAKES,ABCD,Nov-21
Kings Road,ST ALBANS,AC,Nov-21
Kingsclere Avenue,KEYSBOROUGH,C,Nov-21
Kingston Road,HEATHERTON,AC,May-22
Kobyboyn Road,SEYMOUR,ABC,Oct-21
Koo Wee Rup-Longwarry Road,BAYLES,B,Apr-22
Koonoomoo Road,COBRAM,C,Oct-21
Kooyong Road,CAULFIELD NORTH,C,May-22
Kooyong Road,CAULFIELD SOUTH,C,May-22
Kororoit Creek Road,ALTONA,C,Sep-21
Kororoit Creek Road,WILLIAMSTOWN NORTH,C,Sep-21
Korumburra-Warragul Road,WARRAGUL SOUTH,BC,Apr-22
Kulkyne Way,KARADOC,ABC,Jul-21
Kulkyne Way,IRAAK,AC,Jul-21
Kumala Road,BAYSWATER,BC,Sep-21
Kurrak Road,YARRAMBAT,BC,Apr-22
Kyneton-Trentham Road,TRENTHAM,BC,T
Lady Nelson Way,KEILOR DOWNS,C,T
Lake Tyers Beach Road,LAKE TYERS,C,T
Lakeside Drive,ALBERT PARK,BC,Jun-21
Lancaster Road,KYABRAM,BC,Mar-22
Langs Road,ASCOT VALE,C,Apr-22
Latrobe Road,MORWELL,ABCD,T
Latrobe Road,MARYVALE,BC,T
Lawn Road,SPRINGVALE,C,Nov-21
Leakes Road,PLUMPTON,AC,May-22
Leakes Road,TRUGANINA,BCD,Jan-22
Leonard Avenue,ST ALBANS,C,T
Leppitt Road,PAKENHAM,B,Apr-22
Leslie Street,ST ALBANS,BC,T
Liberty Avenue,ROWVILLE,C,Apr-22
Linsell Boulevard,CRANBOURNE EAST,BC,Mar-22
Liverpool Road,KILSYTH,AC,Jan-22
Livingstone Street,IVANHOE,ABCD,Apr-22
Livingstone Street,AVENEL,BC,Oct-21
Lloyd Street,MOE,ABC,T
Lockwood Road,KANGAROO FLAT,ACD,Apr-22
Loddon Valley Highway,MACORNA,BC,Oct-21
Loddon Valley Highway,KERANG SOUTH,C,Oct-21
Loddon Valley Highway,CAMPBELLS FOREST,C,Apr-22
Loddon Valley Highway,CANARY ISLAND SOUTH,C,Apr-22
Loddon Valley Highway,DURHAM OX,C,Apr-22
Loddon Valley Highway,JARKLIN,C,Apr-22
Loddon Valley Highway,YARRABERB,C,Apr-22
Long Forest Road,LONG FOREST,BC,Nov-21
Longford-Loch Sport Road,LONGFORD,ABC,Jan-22
Longford-Loch Sport Road,DUTSON,C,Jan-22
looker Road,MONTMORENCY,BCD,Apr-22
Lorimer Street,PORT MELBOURNE,BCD,May-22
Lower Dandenong Road,MORDIALLOC,AC,May-22
Lower Dandenong Road,DINGLEY VILLAGE,C,Sep-21
Lower Duneed Road,MOUNT DUNEED,ABC,Jan-22
Lower Heidelberg Road,IVANHOE,C,Apr-22
Lower Plenty Road,YALLAMBIE,ABCD,Apr-22
Lowry Street,ROCHESTER,ABC,Mar-22
Ludstone Street,HAMPTON,AC,May-22
Lum Road,WHEELERS HILL,BC,Apr-22
Lyall Road,BERWICK,B,Mar-22
Lygon Street,CARLTON NORTH,AC,May-22
Lyon Road,VIEWBANK,BCD,Apr-22
Lyons Street,WHITE HILLS,CD,Apr-22
Lyrebird Drive,CARRUM DOWNS,ABC,Jan-22
MacArthur Street,SALE,C,Jan-22
Macaulay Road,NORTH MELBOURNE,ABC,May-22
Mackie Road,BENTLEIGH EAST,BCD,May-22
